name,Jaar,Jonger dan 5 jaar,5 tot 10 jaar,10 tot 15 jaar,15 tot 20 jaar,20 tot 25 jaar,25 tot 45 jaar,45 tot 65 jaar,65 tot 80 jaar,80 jaar of ouder
Aa en Hunze,2017,936,1164,1472,1599,959,4383,8467,4853,1453
Aalburg,2017,793,844,890,943,817,3006,3584,1711,479
Aalsmeer,2017,1607,2109,2150,1899,1585,7221,9089,4274,1439
Aalten,2017,1230,1539,1690,1689,1274,5641,8259,4309,1416
Achtkarspelen,2017,1482,1758,1872,1799,1485,6404,7891,4062,1140
Alblasserdam,2017,1273,1345,1325,1279,1194,4654,5070,2871,997
Albrandswaard,2017,1369,1622,1692,1552,1117,5896,7735,3170,952
Alkmaar,2017,5664,5789,5904,5924,6009,28426,30967,15197,4493
Almelo,2017,3596,4090,4542,4606,3994,17584,20399,10416,3252
Almere,2017,12224,13142,13514,13767,12508,55525,59391,16778,4065
Alphen aan den Rijn,2017,5736,6381,6556,6904,5858,26707,31154,15295,4324
Alphen-Chaam,2017,451,526,573,593,530,1989,3249,1671,476
Ameland,2017,179,220,216,164,159,846,1032,655,162
Amersfoort,2017,9243,10277,10107,9957,8084,41928,42980,16234,5527
Amstelveen,2017,5280,5495,4819,4830,5702,22946,23260,11671,5291
Amsterdam,2017,47380,41879,37505,39429,69824,299004,207391,79814,22721
Apeldoorn,2017,7924,8589,9434,9774,8359,37271,46516,24245,7935
Appingedam,2017,537,606,663,679,556,2528,3555,2106,741
Arnhem,2017,8581,8642,8208,8713,11682,46109,40974,17276,5514
Assen,2017,3324,3945,4399,4309,3210,15967,19704,9493,3200
Asten,2017,703,869,1032,1005,990,3579,5060,2719,757
Baarle-Nassau,2017,282,309,328,315,288,1368,2006,1362,399
Baarn,2017,1204,1341,1407,1387,1037,5152,7424,4050,1527
Barendrecht,2017,2752,3091,3556,3401,2445,10815,14489,6028,1767
Barneveld,2017,4097,4017,4052,4278,3633,13326,13998,6683,2292
Bedum,2017,531,547,643,674,532,2196,3193,1735,428
Beek,2017,603,612,777,931,774,3212,5180,2952,910
Beemster,2017,493,494,525,564,483,1918,2867,1419,442
Beesel,2017,545,664,808,801,620,2772,4296,2200,699
Bellingwedde,2017,321,378,453,485,360,1596,2932,1861,533
Berg en Dal,2017,1397,1554,1922,2081,1824,6763,11103,6043,2077
Bergeijk,2017,787,897,1116,1199,1007,3764,5687,3038,847
Bergen (L),2017,519,608,711,842,643,2490,4389,2268,625
Bergen (NH),2017,874,1244,1686,1858,1215,4377,9435,6843,2312
Bergen op Zoom,2017,3169,3267,3590,3933,3443,15245,19951,10395,3171
Berkelland,2017,1755,2270,2767,2796,2147,8448,13741,7902,2412
Bernheze,2017,1375,1692,1983,2119,1661,6445,9025,4458,1494
Best,2017,1344,1521,1926,2050,1531,6278,9237,4074,1219
Beuningen,2017,1144,1223,1568,1651,1267,5515,8483,3603,970
Beverwijk,2017,2195,2250,2286,2265,2323,10746,11460,5267,1917
het Bildt,2017,498,588,699,661,526,2209,3166,1637,509
De Bilt,2017,2086,2442,2737,2695,1866,8253,12658,6869,3148
Binnenmaas,2017,1352,1615,1748,1594,1331,6331,8668,5040,1443
Bladel,2017,946,994,1255,1242,1098,4395,6023,3168,942
Blaricum,2017,552,516,649,600,323,1909,2982,2170,500
Bloemendaal,2017,969,1416,1662,1664,758,3418,6976,4185,1778
Bodegraven-Reeuwijk,2017,1870,2018,2258,2274,1857,7394,9539,5070,1453
Boekel,2017,507,580,704,728,655,2307,3077,1435,421
Ten Boer,2017,388,444,493,518,311,1524,2185,1039,386
Borger-Odoorn,2017,996,1218,1407,1603,1126,4771,8286,4637,1311
Borne,2017,1261,1320,1450,1362,1065,5188,6461,3587,1101
Borsele,2017,1213,1365,1431,1502,1149,4943,6741,3275,1069
Boxmeer,2017,1095,1419,1751,1897,1590,5703,9182,4552,1520
Boxtel,2017,1357,1702,1941,1921,1597,6989,8789,4919,1440
Breda,2017,9232,9904,9995,11007,14151,47835,48002,23836,8342
Brielle,2017,746,777,893,1014,815,3681,5266,2841,800
Bronckhorst,2017,1277,1718,2333,2377,1725,6110,12022,6711,2137
Brummen,2017,828,947,1212,1336,1025,3977,6526,3794,1198
Brunssum,2017,1077,1300,1352,1475,1342,6074,9131,4908,1699
Bunnik,2017,836,936,987,898,660,3060,4527,2376,876
Bunschoten,2017,1327,1426,1397,1424,1389,5530,5238,2651,638
Buren,2017,1252,1451,1650,1737,1291,5510,8514,4045,898
Capelle aan den IJssel,2017,3668,3717,3599,3889,3773,16020,19194,9566,2995
Castricum,2017,1491,1647,2107,2339,1852,6647,10678,6267,2188
Coevorden,2017,1545,1805,2133,2174,1540,7074,10996,6054,1965
Cranendonck,2017,936,1053,1068,1215,1084,4366,6327,3618,1009
Cromstrijen,2017,541,652,708,799,589,2574,4052,2297,585
Cuijk,2017,1180,1256,1422,1602,1298,5435,7504,3955,1044
Culemborg,2017,1405,1588,1877,1877,1428,6395,8510,3726,1058
